ticker,ex_date,yield
TSE:PRL,12-Feb-24,2.4
TSE:ENB,14-Feb-24,7.64
TSE:MRU,14-Feb-24,1.73
TSE:POU,14-Feb-24,5.96
TSE:ENGH,14-Feb-24,2.35
TSE:PNE,14-Feb-24,10.38
TSE:DIV,14-Feb-24,8.51
TSE:IPO,14-Feb-24,8.57
TSE:GXE,14-Feb-24,14.64
TSE:NET.UN,14-Feb-24,6.97
TSE:AW.UN,14-Feb-24,6.06
TSE:FTS,15-Feb-24,4.3
TSE:ALC,15-Feb-24,4.72
TSE:PRQ,15-Feb-24,0.82
TSE:OLY,16-Feb-24,5.14
TSE:ZZZ,20-Feb-24,3.52
TSE:FTT,21-Feb-24,2.73
TSE:EIT.UN,21-Feb-24,9.19
TSE:X,22-Feb-24,2.07
TSE:EDV,22-Feb-24,4.92
TSE:CSW.A,26-Feb-24,6.45
TSE:CSW.B,26-Feb-24,6.87
TSE:SLF,27-Feb-24,4.22
TSE:BAM,28-Feb-24,3.24
TSE:ACO.Y,28-Feb-24,5.01
TSE:ACO.X,28-Feb-24,5.15
TSE:BEI.UN,28-Feb-24,1.62
TSE:FCR.UN,28-Feb-24,5.32
TSE:PMZ.UN,28-Feb-24,6.05
TSE:ASTL,28-Feb-24,2.4
TSE:BDT,28-Feb-24,2.77
TSE:NXR.UN,28-Feb-24,7.86
TSE:RAY.B,28-Feb-24,4.17
TSE:RAY.A,28-Feb-24,4.07
TSE:AI,28-Feb-24,7.99
TSE:FC,28-Feb-24,8.33
TSE:FCD.UN,28-Feb-24,10.79
TSE:RX,28-Feb-24,1.9
TSE:CLP.UN,28-Feb-24,8.16
TSE:OTEX,29-Feb-24,2.42
TSE:TA,29-Feb-24,2.37
TSE:CF,29-Feb-24,4.76
TSE:IMO,01-Mar-24,2.51
TSE:CNR,06-Mar-24,1.81
TSE:CMG,06-Mar-24,2.09
TSE:RCI.A,08-Mar-24,3.19
TSE:RCI.B,08-Mar-24,3.19
